onset	duration	weight	trial_type
6.8	2	1	NonRewarded
12.4	1.1	1	ButtonPress
19.54	2	1	NonRewarded
27.54	1.1	1	ButtonPress
32.48	2	1	NonRewarded
36.48	1.1	1	ButtonPress
44.29	2	1	NonRewarded
49.36	1.1	1	ButtonPress
55.82	2	1	NonRewarded
61.42	1.1	1	ButtonPress
65.49	2	1	Rewarded
70.29	1.1	1	ButtonPress
75.55	2	1	Rewarded
80.75	1.1	1	ButtonPress
85.86	2	1	Rewarded
92.66	1.1	1	ButtonPress
96.89	2	1	Rewarded
101.82	1.1	1	ButtonPress
107.53	2	1	NonRewarded
114.73	1.1	1	ButtonPress
118.66	2	1	Rewarded
123.86	1	1	ButtonPress
127.73	2	1	Rewarded
132.03	1.1	1	ButtonPress
136.9	2	1	Rewarded
141.1	1.1	1	ButtonPress
144.5	2	1	Rewarded
150.3	1	1	ButtonPress
157.08	2	1	NonRewarded
162.02	1	1	ButtonPress
168.91	2	1	Rewarded
173.21	1	1	ButtonPress
177.19	2	1	Rewarded
181.29	1	1	ButtonPress
185.3	2	1	Rewarded
190.9	1	1	ButtonPress
196.81	2	1	NonRewarded
203.21	1	1	ButtonPress
209	2	1	Rewarded
216.6	1	1	ButtonPress
220.61	2	1	NonRewarded
225.15	1	1	ButtonPress
232.19	2	1	NonRewarded
239.79	1	1	ButtonPress
246.37	2	1	Rewarded
252.37	1	1	ButtonPress
258.72	2	1	NonRewarded
263.65	1	1	ButtonPress
270.03	2	1	Rewarded
275.83	1.1	1	ButtonPress
280.47	2	1	NonRewarded
286.87	1.1	1	ButtonPress
291.33	2	1	Rewarded
298.13	1.1	1	ButtonPress
302.27	2	1	Rewarded
306.67	1.1	1	ButtonPress
310.24	2	1	NonRewarded
316.24	1.1	1	ButtonPress
319.89	2	1	Rewarded
324.69	1.1	1	ButtonPress
332.32	2	1	NonRewarded
337.52	1.1	1	ButtonPress
344.15	2	1	NonRewarded
351.35	1	1	ButtonPress
356.89	2	1	Rewarded
361.96	1	1	ButtonPress
367.15	2	1	Rewarded
373.35	1	1	ButtonPress
376.93	2	1	Rewarded
382.53	1	1	ButtonPress
389.76	2	1	Rewarded
393.76	1	1	ButtonPress
397.15	2	1	Rewarded
401.35	1	1	ButtonPress
409.05	2	1	NonRewarded
413.59	1	1	ButtonPress
419.31	2	1	Rewarded
423.41	1.1	1	ButtonPress
429.5	2	1	Rewarded
434.17	1.1	1	ButtonPress
438.65	2	1	Rewarded
443.32	1.1	1	ButtonPress
448.25	2	1	NonRewarded
453.05	1.1	1	ButtonPress
459.46	2	1	Rewarded
466.26	1.1	1	ButtonPress
469.83	2	1	Rewarded
476.63	1.1	1	ButtonPress
481.71	2	1	NonRewarded
487.31	1.1	1	ButtonPress
495.69	2	1	NonRewarded
503.69	1.1	1	ButtonPress
510.92	2	1	Rewarded
515.32	1.1	1	ButtonPress
522.2	2	1	NonRewarded
528.4	1.1	1	ButtonPress
533.81	2	1	NonRewarded
539.81	1	1	ButtonPress
546.24	2	1	Rewarded
553.44	1	1	ButtonPress
558.1	2	1	Rewarded
562.63	1	1	ButtonPress
566.43	2	1	Rewarded
571.23	1	1	ButtonPress
577.07	2	1	NonRewarded
584.67	1	1	ButtonPress
589.99	2	1	Rewarded
595.32	1	1	ButtonPress
599.57	2	1	NonRewarded
606.77	1	1	ButtonPress
614.49	2	1	Rewarded
620.89	1	1	ButtonPress
624.29	2	1	NonRewarded
628.69	1	1	ButtonPress
633.06	2	1	Rewarded
638.26	1	1	ButtonPress
643.18	2	1	NonRewarded
648.65	1	1	ButtonPress
655.95	2	1	NonRewarded
661.15	1.1	1	ButtonPress
667.07	2	1	Rewarded
671.47	1.1	1	ButtonPress
676.32	2	1	Rewarded
681.52	1.1	1	ButtonPress
686.81	2	1	Rewarded
692.61	1.1	1	ButtonPress
697.52	2	1	NonRewarded
703.52	1.1	1	ButtonPress
710.8	2	1	Rewarded
715.47	1.1	1	ButtonPress
722.35	2	1	NonRewarded
727.02	1	1	ButtonPress
734.63	2	1	NonRewarded
738.93	1.1	1	ButtonPress
747.04	2	1	NonRewarded
752.64	1.1	1	ButtonPress
757.52	2	1	NonRewarded
761.92	1.1	1	ButtonPress
766.79	2	1	Rewarded
771.86	1.1	1	ButtonPress
776.7	2	1	NonRewarded
781.5	1.1	1	ButtonPress
787.01	2	1	NonRewarded
792.48	1.1	1	ButtonPress
797.51	2	1	NonRewarded
802.71	1.1	1	ButtonPress
807.79	2	1	NonRewarded
812.59	1.1	1	ButtonPress
818.13	2	1	NonRewarded
824.53	1.1	1	ButtonPress
828.87	2	1	Rewarded
836.07	1.1	1	ButtonPress
839.76	2	1	NonRewarded
845.09	1.1	1	ButtonPress
849.28	2	1	NonRewarded
856.08	1.1	1	ButtonPress
861.46	2	1	NonRewarded
865.86	1.1	1	ButtonPress
874.5	2	1	NonRewarded
879.3	1.1	1	ButtonPress
