onset	duration	weight	trial_type
6.05	2	1	NonRewarded
11.65	1.1	1	ButtonPress
15.72	2	1	NonRewarded
23.72	1.1	1	ButtonPress
26.98	2	1	NonRewarded
30.98	1.1	1	ButtonPress
36.65	2	1	NonRewarded
41.71	1.1	1	ButtonPress
48.18	2	1	NonRewarded
53.78	1.1	1	ButtonPress
57.84	2	1	Rewarded
62.64	1.1	1	ButtonPress
67.91	2	1	Rewarded
73.11	1.1	1	ButtonPress
78.2	2	1	Rewarded
85	1.1	1	ButtonPress
89.22	2	1	Rewarded
94.15	1.1	1	ButtonPress
99.85	2	1	NonRewarded
107.05	1.1	1	ButtonPress
111	2	1	Rewarded
116.2	1	1	ButtonPress
120.07	2	1	Rewarded
124.37	1	1	ButtonPress
129.14	2	1	Rewarded
133.34	1.1	1	ButtonPress
136.74	2	1	Rewarded
142.54	1.1	1	ButtonPress
148.63	2	1	NonRewarded
153.57	1.1	1	ButtonPress
158.27	2	1	Rewarded
162.57	1.1	1	ButtonPress
166.65	2	1	Rewarded
170.75	1.1	1	ButtonPress
174.85	2	1	Rewarded
180.45	1.1	1	ButtonPress
185.75	2	1	NonRewarded
192.15	1.1	1	ButtonPress
195.82	2	1	Rewarded
203.42	1.1	1	ButtonPress
207.52	2	1	NonRewarded
212.05	1.1	1	ButtonPress
218.53	2	1	NonRewarded
226.13	1.1	1	ButtonPress
230.58	2	1	Rewarded
236.58	1	1	ButtonPress
242.92	2	1	NonRewarded
247.86	1	1	ButtonPress
254.22	2	1	Rewarded
260.02	1	1	ButtonPress
264.55	2	1	NonRewarded
270.95	1	1	ButtonPress
275.31	2	1	Rewarded
282.11	1	1	ButtonPress
286.1	2	1	Rewarded
290.5	1	1	ButtonPress
293.96	2	1	NonRewarded
299.96	1	1	ButtonPress
303.54	2	1	Rewarded
308.34	1	1	ButtonPress
315.13	2	1	NonRewarded
320.33	1	1	ButtonPress
324.01	2	1	NonRewarded
331.21	1	1	ButtonPress
334.51	2	1	Rewarded
339.57	1	1	ButtonPress
344.75	2	1	Rewarded
350.95	1	1	ButtonPress
354.52	2	1	Rewarded
360.12	1	1	ButtonPress
367.32	2	1	Rewarded
371.32	1	1	ButtonPress
374.71	2	1	Rewarded
378.91	1.1	1	ButtonPress
385.78	2	1	NonRewarded
390.31	1.1	1	ButtonPress
395.19	2	1	Rewarded
399.29	1	1	ButtonPress
405.28	2	1	Rewarded
409.94	1	1	ButtonPress
414.34	2	1	Rewarded
419	1	1	ButtonPress
423.07	2	1	NonRewarded
427.87	1.1	1	ButtonPress
433.34	2	1	Rewarded
440.14	1.1	1	ButtonPress
443.7	2	1	Rewarded
450.5	1.1	1	ButtonPress
454.89	2	1	NonRewarded
460.49	1.1	1	ButtonPress
465.94	2	1	NonRewarded
473.94	1.1	1	ButtonPress
479.01	2	1	Rewarded
483.41	1.1	1	ButtonPress
489.5	2	1	NonRewarded
495.7	1.1	1	ButtonPress
500.16	2	1	NonRewarded
506.16	1.1	1	ButtonPress
512.7	2	1	Rewarded
519.9	1.1	1	ButtonPress
524.65	2	1	Rewarded
529.18	1.1	1	ButtonPress
533.09	2	1	Rewarded
537.89	1	1	ButtonPress
542.91	2	1	NonRewarded
550.51	1	1	ButtonPress
554.87	2	1	Rewarded
560.2	1	1	ButtonPress
563.68	2	1	NonRewarded
570.88	1	1	ButtonPress
577.64	2	1	Rewarded
584.04	1	1	ButtonPress
587.44	2	1	NonRewarded
591.84	1	1	ButtonPress
596.18	2	1	Rewarded
601.38	1	1	ButtonPress
605.65	2	1	NonRewarded
611.11	1	1	ButtonPress
615.52	2	1	NonRewarded
620.72	1	1	ButtonPress
624.41	2	1	Rewarded
628.81	1	1	ButtonPress
633.56	2	1	Rewarded
638.76	1	1	ButtonPress
643.92	2	1	Rewarded
649.72	1	1	ButtonPress
654.51	2	1	NonRewarded
660.51	1	1	ButtonPress
667.67	2	1	Rewarded
672.34	1	1	ButtonPress
678.35	2	1	NonRewarded
683.02	1	1	ButtonPress
688.97	2	1	NonRewarded
693.27	1	1	ButtonPress
698.22	2	1	NonRewarded
703.82	1	1	ButtonPress
707.64	2	1	NonRewarded
712.04	1	1	ButtonPress
716.82	2	1	Rewarded
721.89	1	1	ButtonPress
725.76	2	1	NonRewarded
730.56	1	1	ButtonPress
734.26	2	1	NonRewarded
739.72	1	1	ButtonPress
743.67	2	1	NonRewarded
748.87	1	1	ButtonPress
753.09	2	1	NonRewarded
757.89	1	1	ButtonPress
762.37	2	1	NonRewarded
768.77	1	1	ButtonPress
773	2	1	Rewarded
780.2	1	1	ButtonPress
783.78	2	1	NonRewarded
789.12	1	1	ButtonPress
793.21	2	1	NonRewarded
800.01	1	1	ButtonPress
804.64	2	1	NonRewarded
809.04	1	1	ButtonPress
814.6	2	1	NonRewarded
819.4	1	1	ButtonPress
