onset	duration	weight	trial_type
6.06	2	1	NonRewarded
11.66	1.1	1	ButtonPress
15.77	2	1	NonRewarded
23.77	1.1	1	ButtonPress
27.1	2	1	NonRewarded
31.1	1.1	1	ButtonPress
36.8	2	1	NonRewarded
41.87	1.1	1	ButtonPress
48.38	2	1	NonRewarded
53.98	1.1	1	ButtonPress
58.09	2	1	Rewarded
62.89	1.1	1	ButtonPress
68.21	2	1	Rewarded
73.41	1.1	1	ButtonPress
78.52	2	1	Rewarded
85.32	1.1	1	ButtonPress
89.55	2	1	Rewarded
94.48	1.1	1	ButtonPress
100.2	2	1	NonRewarded
107.4	1.1	1	ButtonPress
111.37	2	1	Rewarded
116.57	1	1	ButtonPress
120.44	2	1	Rewarded
124.74	1	1	ButtonPress
129.52	2	1	Rewarded
133.72	1	1	ButtonPress
137.04	2	1	Rewarded
142.84	1	1	ButtonPress
148.86	2	1	NonRewarded
153.79	1	1	ButtonPress
158.44	2	1	Rewarded
162.74	1.1	1	ButtonPress
166.82	2	1	Rewarded
170.92	1.1	1	ButtonPress
175.04	2	1	Rewarded
180.64	1.1	1	ButtonPress
185.93	2	1	NonRewarded
192.33	1.1	1	ButtonPress
196.03	2	1	Rewarded
203.63	1.1	1	ButtonPress
207.78	2	1	NonRewarded
212.31	1.1	1	ButtonPress
218.79	2	1	NonRewarded
226.39	1.1	1	ButtonPress
230.87	2	1	Rewarded
236.87	1.1	1	ButtonPress
243.33	2	1	NonRewarded
248.26	1.1	1	ButtonPress
254.78	2	1	Rewarded
260.58	1.1	1	ButtonPress
265.2	2	1	NonRewarded
271.6	1	1	ButtonPress
276	2	1	Rewarded
282.8	1.1	1	ButtonPress
286.93	2	1	Rewarded
291.33	1.1	1	ButtonPress
294.9	2	1	NonRewarded
300.9	1.1	1	ButtonPress
304.61	2	1	Rewarded
309.41	1.1	1	ButtonPress
316.3	2	1	NonRewarded
321.5	1.1	1	ButtonPress
325.28	2	1	NonRewarded
332.48	1.1	1	ButtonPress
335.88	2	1	Rewarded
340.95	1.1	1	ButtonPress
346.23	2	1	Rewarded
352.43	1.1	1	ButtonPress
356.08	2	1	Rewarded
361.68	1.1	1	ButtonPress
368.99	2	1	Rewarded
372.99	1.1	1	ButtonPress
376.5	2	1	Rewarded
380.7	1	1	ButtonPress
387.48	2	1	NonRewarded
392.01	1	1	ButtonPress
396.86	2	1	Rewarded
400.96	1	1	ButtonPress
406.97	2	1	Rewarded
411.63	1.1	1	ButtonPress
416.14	2	1	Rewarded
420.8	1	1	ButtonPress
424.91	2	1	NonRewarded
429.71	1	1	ButtonPress
435.15	2	1	Rewarded
441.95	1	1	ButtonPress
445.45	2	1	Rewarded
452.25	1	1	ButtonPress
456.55	2	1	NonRewarded
462.15	1	1	ButtonPress
467.54	2	1	NonRewarded
475.54	1.1	1	ButtonPress
480.62	2	1	Rewarded
485.02	1.1	1	ButtonPress
491.13	2	1	NonRewarded
497.33	1.1	1	ButtonPress
501.86	2	1	NonRewarded
507.86	1.1	1	ButtonPress
514.41	2	1	Rewarded
521.61	1	1	ButtonPress
526.28	2	1	Rewarded
530.82	1	1	ButtonPress
534.62	2	1	Rewarded
539.42	1	1	ButtonPress
544.46	2	1	NonRewarded
552.06	1	1	ButtonPress
556.5	2	1	Rewarded
561.83	1	1	ButtonPress
565.33	2	1	NonRewarded
572.53	1	1	ButtonPress
579.36	2	1	Rewarded
585.76	1	1	ButtonPress
589.15	2	1	NonRewarded
593.55	1	1	ButtonPress
597.94	2	1	Rewarded
603.14	1.1	1	ButtonPress
607.52	2	1	NonRewarded
612.99	1.1	1	ButtonPress
617.46	2	1	NonRewarded
622.66	1.1	1	ButtonPress
626.44	2	1	Rewarded
630.84	1.1	1	ButtonPress
635.73	2	1	Rewarded
640.93	1.1	1	ButtonPress
646.22	2	1	Rewarded
652.02	1.1	1	ButtonPress
656.95	2	1	NonRewarded
662.95	1.1	1	ButtonPress
670.24	2	1	Rewarded
674.91	1.1	1	ButtonPress
681.05	2	1	NonRewarded
685.72	1.1	1	ButtonPress
691.83	2	1	NonRewarded
696.13	1.1	1	ButtonPress
701.22	2	1	NonRewarded
706.82	1.1	1	ButtonPress
710.82	2	1	NonRewarded
715.22	1.1	1	ButtonPress
720.13	2	1	Rewarded
725.2	1.1	1	ButtonPress
729.2	2	1	NonRewarded
734	1.1	1	ButtonPress
737.87	2	1	NonRewarded
743.34	1.1	1	ButtonPress
747.48	2	1	NonRewarded
752.68	1.1	1	ButtonPress
757.03	2	1	NonRewarded
761.83	1.1	1	ButtonPress
766.49	2	1	NonRewarded
772.89	1.1	1	ButtonPress
777.25	2	1	Rewarded
784.45	1.1	1	ButtonPress
788.14	2	1	NonRewarded
793.47	1	1	ButtonPress
797.59	2	1	NonRewarded
804.39	1	1	ButtonPress
809.04	2	1	NonRewarded
813.44	1	1	ButtonPress
819.01	2	1	NonRewarded
823.81	1	1	ButtonPress
