onset	duration	weight	trial_type
6.27	2	1	NonRewarded
11.87	1.1	1	ButtonPress
16.77	2	1	NonRewarded
24.77	1.1	1	ButtonPress
28.58	2	1	NonRewarded
32.58	1.1	1	ButtonPress
38.24	2	1	NonRewarded
43.31	1.1	1	ButtonPress
49.78	2	1	NonRewarded
55.38	1.1	1	ButtonPress
59.43	2	1	Rewarded
64.23	1.1	1	ButtonPress
69.52	2	1	Rewarded
74.72	1.1	1	ButtonPress
79.82	2	1	Rewarded
86.62	1.1	1	ButtonPress
90.84	2	1	Rewarded
95.78	1.1	1	ButtonPress
101.48	2	1	NonRewarded
108.68	1.1	1	ButtonPress
112.64	2	1	Rewarded
117.84	1	1	ButtonPress
121.7	2	1	Rewarded
126	1	1	ButtonPress
130.77	2	1	Rewarded
134.97	1	1	ButtonPress
138.27	2	1	Rewarded
144.07	1	1	ButtonPress
150.29	2	1	NonRewarded
155.22	1	1	ButtonPress
160.55	2	1	Rewarded
164.85	1	1	ButtonPress
168.83	2	1	Rewarded
172.93	1	1	ButtonPress
176.93	2	1	Rewarded
182.53	1	1	ButtonPress
187.94	2	1	NonRewarded
194.34	1	1	ButtonPress
198.59	2	1	Rewarded
206.19	1	1	ButtonPress
210.25	2	1	NonRewarded
214.78	1	1	ButtonPress
221.54	2	1	NonRewarded
229.14	1	1	ButtonPress
234.18	2	1	Rewarded
240.18	1	1	ButtonPress
246.52	2	1	NonRewarded
251.45	1	1	ButtonPress
257.82	2	1	Rewarded
263.62	1.1	1	ButtonPress
268.24	2	1	NonRewarded
274.64	1.1	1	ButtonPress
279.1	2	1	Rewarded
285.9	1.1	1	ButtonPress
289.99	2	1	Rewarded
294.39	1.1	1	ButtonPress
297.96	2	1	NonRewarded
303.96	1.1	1	ButtonPress
307.62	2	1	Rewarded
312.42	1.1	1	ButtonPress
319.31	2	1	NonRewarded
324.51	1.1	1	ButtonPress
328.55	2	1	NonRewarded
335.75	1.1	1	ButtonPress
339.78	2	1	Rewarded
344.85	1.1	1	ButtonPress
350.14	2	1	Rewarded
356.34	1.1	1	ButtonPress
360	2	1	Rewarded
365.6	1	1	ButtonPress
372.82	2	1	Rewarded
376.82	1	1	ButtonPress
380.21	2	1	Rewarded
384.41	1	1	ButtonPress
391.32	2	1	NonRewarded
395.86	1	1	ButtonPress
401.18	2	1	Rewarded
405.28	1.1	1	ButtonPress
411.38	2	1	Rewarded
416.04	1.1	1	ButtonPress
420.55	2	1	Rewarded
425.22	1.1	1	ButtonPress
429.54	2	1	NonRewarded
434.34	1.1	1	ButtonPress
440.35	2	1	Rewarded
447.15	1.1	1	ButtonPress
450.73	2	1	Rewarded
457.53	1.1	1	ButtonPress
462.17	2	1	NonRewarded
467.77	1.1	1	ButtonPress
473.89	2	1	NonRewarded
481.89	1.1	1	ButtonPress
486.97	2	1	Rewarded
491.37	1.1	1	ButtonPress
497.62	2	1	NonRewarded
503.82	1.1	1	ButtonPress
508.81	2	1	NonRewarded
514.81	1.1	1	ButtonPress
521.38	2	1	Rewarded
528.58	1.1	1	ButtonPress
533.34	2	1	Rewarded
537.87	1.1	1	ButtonPress
541.76	2	1	Rewarded
546.56	1.1	1	ButtonPress
551.85	2	1	NonRewarded
559.45	1.1	1	ButtonPress
564.47	2	1	Rewarded
569.81	1.1	1	ButtonPress
573.53	2	1	NonRewarded
580.73	1.1	1	ButtonPress
588.13	2	1	Rewarded
594.53	1.1	1	ButtonPress
598.03	2	1	NonRewarded
602.43	1.1	1	ButtonPress
606.95	2	1	Rewarded
612.15	1.1	1	ButtonPress
616.74	2	1	NonRewarded
622.2	1.1	1	ButtonPress
627.33	2	1	NonRewarded
632.53	1.1	1	ButtonPress
636.32	2	1	Rewarded
640.72	1.1	1	ButtonPress
645.57	2	1	Rewarded
650.77	1.1	1	ButtonPress
656.03	2	1	Rewarded
661.83	1.1	1	ButtonPress
666.82	2	1	NonRewarded
672.82	1.1	1	ButtonPress
680.27	2	1	Rewarded
684.94	1.1	1	ButtonPress
691.21	2	1	NonRewarded
695.88	1.1	1	ButtonPress
702.7	2	1	NonRewarded
707	1.1	1	ButtonPress
712.87	2	1	NonRewarded
718.47	1.1	1	ButtonPress
722.93	2	1	NonRewarded
727.33	1.1	1	ButtonPress
732.2	2	1	Rewarded
737.27	1.1	1	ButtonPress
741.39	2	1	NonRewarded
746.19	1.1	1	ButtonPress
750.67	2	1	NonRewarded
756.14	1.1	1	ButtonPress
760.79	2	1	NonRewarded
765.99	1.1	1	ButtonPress
770.66	2	1	NonRewarded
775.46	1.1	1	ButtonPress
780.58	2	1	NonRewarded
786.98	1.1	1	ButtonPress
791.31	2	1	Rewarded
798.51	1.1	1	ButtonPress
802.2	2	1	NonRewarded
807.53	1	1	ButtonPress
811.62	2	1	NonRewarded
818.42	1.1	1	ButtonPress
823.36	2	1	NonRewarded
827.76	1.1	1	ButtonPress
834.1	2	1	NonRewarded
838.9	1.1	1	ButtonPress
