onset	duration	weight	trial_type
6.05	2	1	NonRewarded
11.65	1.1	1	ButtonPress
15.77	2	1	NonRewarded
23.77	1.1	1	ButtonPress
27.09	2	1	NonRewarded
31.09	1.1	1	ButtonPress
36.78	2	1	NonRewarded
41.85	1.1	1	ButtonPress
48.34	2	1	NonRewarded
53.94	1.1	1	ButtonPress
58.02	2	1	Rewarded
62.82	1.1	1	ButtonPress
68.1	2	1	Rewarded
73.3	1.1	1	ButtonPress
78.41	2	1	Rewarded
85.21	1.1	1	ButtonPress
89.42	2	1	Rewarded
94.36	1.1	1	ButtonPress
100.05	2	1	NonRewarded
107.25	1.1	1	ButtonPress
111.21	2	1	Rewarded
116.41	1	1	ButtonPress
120.28	2	1	Rewarded
124.58	1	1	ButtonPress
129.36	2	1	Rewarded
133.56	1	1	ButtonPress
136.88	2	1	Rewarded
142.68	1	1	ButtonPress
148.7	2	1	NonRewarded
153.63	1	1	ButtonPress
158.3	2	1	Rewarded
162.6	1	1	ButtonPress
166.59	2	1	Rewarded
170.69	1	1	ButtonPress
174.71	2	1	Rewarded
180.31	1	1	ButtonPress
185.5	2	1	NonRewarded
191.9	1	1	ButtonPress
195.49	2	1	Rewarded
203.09	1	1	ButtonPress
207.09	2	1	NonRewarded
211.62	1	1	ButtonPress
218.02	2	1	NonRewarded
225.62	1.1	1	ButtonPress
230.13	2	1	Rewarded
236.13	1.1	1	ButtonPress
242.57	2	1	NonRewarded
247.51	1.1	1	ButtonPress
254	2	1	Rewarded
259.8	1.1	1	ButtonPress
264.44	2	1	NonRewarded
270.84	1.1	1	ButtonPress
275.34	2	1	Rewarded
282.14	1.1	1	ButtonPress
286.22	2	1	Rewarded
290.62	1.1	1	ButtonPress
294.2	2	1	NonRewarded
300.2	1.1	1	ButtonPress
303.89	2	1	Rewarded
308.69	1.1	1	ButtonPress
315.58	2	1	NonRewarded
320.78	1.1	1	ButtonPress
324.58	2	1	NonRewarded
331.78	1	1	ButtonPress
335.07	2	1	Rewarded
340.14	1	1	ButtonPress
345.31	2	1	Rewarded
351.51	1	1	ButtonPress
355.08	2	1	Rewarded
360.68	1	1	ButtonPress
367.88	2	1	Rewarded
371.88	1	1	ButtonPress
375.27	2	1	Rewarded
379.47	1.1	1	ButtonPress
386.35	2	1	NonRewarded
390.89	1.1	1	ButtonPress
395.8	2	1	Rewarded
399.9	1.1	1	ButtonPress
406	2	1	Rewarded
410.67	1.1	1	ButtonPress
415.18	2	1	Rewarded
419.85	1.1	1	ButtonPress
424.04	2	1	NonRewarded
428.84	1.1	1	ButtonPress
434.39	2	1	Rewarded
441.19	1.1	1	ButtonPress
444.76	2	1	Rewarded
451.56	1.1	1	ButtonPress
455.94	2	1	NonRewarded
461.54	1.1	1	ButtonPress
467.03	2	1	NonRewarded
475.03	1.1	1	ButtonPress
480.09	2	1	Rewarded
484.49	1	1	ButtonPress
490.51	2	1	NonRewarded
496.71	1	1	ButtonPress
501.13	2	1	NonRewarded
507.13	1.1	1	ButtonPress
513.68	2	1	Rewarded
520.88	1.1	1	ButtonPress
525.62	2	1	Rewarded
530.15	1.1	1	ButtonPress
534.05	2	1	Rewarded
538.85	1.1	1	ButtonPress
544.01	2	1	NonRewarded
551.61	1.1	1	ButtonPress
556.17	2	1	Rewarded
561.5	1.1	1	ButtonPress
565.09	2	1	NonRewarded
572.29	1.1	1	ButtonPress
579.2	2	1	Rewarded
585.6	1	1	ButtonPress
589	2	1	NonRewarded
593.4	1	1	ButtonPress
597.79	2	1	Rewarded
602.99	1.1	1	ButtonPress
607.35	2	1	NonRewarded
612.82	1	1	ButtonPress
617.19	2	1	NonRewarded
622.39	1	1	ButtonPress
626.08	2	1	Rewarded
630.48	1	1	ButtonPress
635.23	2	1	Rewarded
640.43	1.1	1	ButtonPress
645.71	2	1	Rewarded
651.51	1.1	1	ButtonPress
656.41	2	1	NonRewarded
662.41	1.1	1	ButtonPress
669.7	2	1	Rewarded
674.37	1.1	1	ButtonPress
680.5	2	1	NonRewarded
685.17	1.1	1	ButtonPress
691.28	2	1	NonRewarded
695.58	1.1	1	ButtonPress
700.67	2	1	NonRewarded
706.27	1	1	ButtonPress
710.15	2	1	NonRewarded
714.55	1	1	ButtonPress
719.37	2	1	Rewarded
724.44	1	1	ButtonPress
728.34	2	1	NonRewarded
733.14	1	1	ButtonPress
736.91	2	1	NonRewarded
742.37	1	1	ButtonPress
746.4	2	1	NonRewarded
751.6	1	1	ButtonPress
755.85	2	1	NonRewarded
760.65	1	1	ButtonPress
765.21	2	1	NonRewarded
771.61	1	1	ButtonPress
775.87	2	1	Rewarded
783.07	1	1	ButtonPress
786.67	2	1	NonRewarded
792	1	1	ButtonPress
796.15	2	1	NonRewarded
802.95	1	1	ButtonPress
807.62	2	1	NonRewarded
812.02	1	1	ButtonPress
817.6	2	1	NonRewarded
822.4	1	1	ButtonPress
