filename	acq_time	operator	randstr	MotionExclusion	MeanFD
anat/sub-SAXSISO01b_T2w.nii.gz	2000-01-01T00:00:00	saxe	bb36cbd9	False	n/a
anat/sub-SAXSISO01b_T1w.nii.gz	2000-01-01T00:00:01	saxe	163a0b9d	False	n/a
fmap/sub-SAXSISO01b_run-001_magnitude1.nii.gz	2000-01-01T00:00:02	saxe	e6f764c0	False	n/a
fmap/sub-SAXSISO01b_run-001_magnitude2.nii.gz	2000-01-01T00:00:03	saxe	e6f764c0	False	n/a
fmap/sub-SAXSISO01b_run-001_phasediff.nii.gz	2000-01-01T00:00:04	saxe	668600a8	False	n/a
func/sub-SAXSISO01b_task-CIC_run-001_bold.nii.gz	2000-01-01T00:00:05	saxe	c35fca73	False	n/a
func/sub-SAXSISO01b_task-CIC_run-002_bold.nii.gz	2000-01-01T00:00:06	saxe	e8ec75b2	False	0.16428465062164382
func/sub-SAXSISO01b_task-CIC_run-003_bold.nii.gz	2000-01-01T00:00:07	saxe	87c7bb05	True	0.3166194396712329
func/sub-SAXSISO01b_task-CIC_run-004_bold.nii.gz	2000-01-01T00:00:08	saxe	8d9098f6	True	0.3268891593369863
func/sub-SAXSISO01b_task-CIC_run-005_bold.nii.gz	2000-01-01T00:00:09	saxe	cd59ab83	False	0.16162830004794526
func/sub-SAXSISO01b_task-CIC_run-006_bold.nii.gz	2000-01-01T00:00:10	saxe	c197986c	False	0.2956383184109589
fmap/sub-SAXSISO01b_run-002_magnitude1.nii.gz	2000-01-01T00:00:11	saxe	1444ecfe	False	n/a
fmap/sub-SAXSISO01b_run-002_magnitude2.nii.gz	2000-01-01T00:00:12	saxe	1444ecfe	False	n/a
fmap/sub-SAXSISO01b_run-002_phasediff.nii.gz	2000-01-01T00:00:13	saxe	0e2fbf8b	False	n/a
func/sub-SAXSISO01b_task-midloc_run-001_bold.nii.gz	2000-01-01T00:00:14	saxe	34b78dfb	False	0.10471126762823532
