onset	duration	weight	trial_type
6.05	2	1	NonRewarded
11.65	1.1	1	ButtonPress
15.77	2	1	NonRewarded
23.77	1.1	1	ButtonPress
27.11	2	1	NonRewarded
31.11	1.1	1	ButtonPress
36.8	2	1	NonRewarded
41.86	1.1	1	ButtonPress
48.37	2	1	NonRewarded
53.97	1.1	1	ButtonPress
58.07	2	1	Rewarded
62.87	1.1	1	ButtonPress
68.14	2	1	Rewarded
73.34	1.1	1	ButtonPress
78.44	2	1	Rewarded
85.24	1.1	1	ButtonPress
89.44	2	1	Rewarded
94.37	1.1	1	ButtonPress
100.1	2	1	NonRewarded
107.3	1.1	1	ButtonPress
111.28	2	1	Rewarded
116.48	1.1	1	ButtonPress
120.45	2	1	Rewarded
124.75	1.1	1	ButtonPress
129.63	2	1	Rewarded
133.83	1.1	1	ButtonPress
137.26	2	1	Rewarded
143.06	1.1	1	ButtonPress
149.15	2	1	NonRewarded
154.09	1.1	1	ButtonPress
158.85	2	1	Rewarded
163.15	1.1	1	ButtonPress
167.25	2	1	Rewarded
171.35	1.1	1	ButtonPress
175.45	2	1	Rewarded
181.05	1.1	1	ButtonPress
186.35	2	1	NonRewarded
192.75	1.1	1	ButtonPress
196.44	2	1	Rewarded
204.04	1.1	1	ButtonPress
208.15	2	1	NonRewarded
212.68	1.1	1	ButtonPress
219.18	2	1	NonRewarded
226.78	1	1	ButtonPress
231.14	2	1	Rewarded
237.14	1	1	ButtonPress
243.52	2	1	NonRewarded
248.46	1	1	ButtonPress
254.85	2	1	Rewarded
260.65	1	1	ButtonPress
265.18	2	1	NonRewarded
271.58	1	1	ButtonPress
275.98	2	1	Rewarded
282.78	1	1	ButtonPress
286.75	2	1	Rewarded
291.15	1	1	ButtonPress
294.65	2	1	NonRewarded
300.65	1	1	ButtonPress
304.22	2	1	Rewarded
309.02	1	1	ButtonPress
315.79	2	1	NonRewarded
320.99	1.1	1	ButtonPress
324.78	2	1	NonRewarded
331.98	1.1	1	ButtonPress
335.38	2	1	Rewarded
340.44	1.1	1	ButtonPress
345.74	2	1	Rewarded
351.94	1.1	1	ButtonPress
355.59	2	1	Rewarded
361.19	1.1	1	ButtonPress
368.5	2	1	Rewarded
372.5	1.1	1	ButtonPress
376.01	2	1	Rewarded
380.21	1.1	1	ButtonPress
387.14	2	1	NonRewarded
391.67	1.1	1	ButtonPress
396.6	2	1	Rewarded
400.7	1.1	1	ButtonPress
406.82	2	1	Rewarded
411.49	1.1	1	ButtonPress
416.01	2	1	Rewarded
420.68	1.1	1	ButtonPress
424.88	2	1	NonRewarded
429.68	1	1	ButtonPress
435.09	2	1	Rewarded
441.89	1.1	1	ButtonPress
445.48	2	1	Rewarded
452.28	1.1	1	ButtonPress
456.71	2	1	NonRewarded
462.31	1.1	1	ButtonPress
467.79	2	1	NonRewarded
475.79	1.1	1	ButtonPress
480.87	2	1	Rewarded
485.27	1.1	1	ButtonPress
491.4	2	1	NonRewarded
497.6	1.1	1	ButtonPress
502.12	2	1	NonRewarded
508.12	1.1	1	ButtonPress
514.67	2	1	Rewarded
521.87	1.1	1	ButtonPress
526.63	2	1	Rewarded
531.16	1.1	1	ButtonPress
535.06	2	1	Rewarded
539.86	1.1	1	ButtonPress
545.01	2	1	NonRewarded
552.61	1	1	ButtonPress
557.04	2	1	Rewarded
562.38	1	1	ButtonPress
565.87	2	1	NonRewarded
573.07	1	1	ButtonPress
579.9	2	1	Rewarded
586.3	1	1	ButtonPress
589.71	2	1	NonRewarded
594.11	1	1	ButtonPress
598.51	2	1	Rewarded
603.71	1	1	ButtonPress
607.98	2	1	NonRewarded
613.45	1	1	ButtonPress
617.83	2	1	NonRewarded
623.03	1	1	ButtonPress
626.73	2	1	Rewarded
631.13	1	1	ButtonPress
635.88	2	1	Rewarded
641.08	1	1	ButtonPress
646.24	2	1	Rewarded
652.04	1	1	ButtonPress
656.87	2	1	NonRewarded
662.87	1	1	ButtonPress
670.05	2	1	Rewarded
674.72	1	1	ButtonPress
680.79	2	1	NonRewarded
685.46	1	1	ButtonPress
691.48	2	1	NonRewarded
695.78	1	1	ButtonPress
700.77	2	1	NonRewarded
706.37	1	1	ButtonPress
710.27	2	1	NonRewarded
714.67	1	1	ButtonPress
719.46	2	1	Rewarded
724.53	1.1	1	ButtonPress
728.51	2	1	NonRewarded
733.31	1.1	1	ButtonPress
737.18	2	1	NonRewarded
742.64	1.1	1	ButtonPress
746.77	2	1	NonRewarded
751.97	1.1	1	ButtonPress
756.32	2	1	NonRewarded
761.12	1.1	1	ButtonPress
765.78	2	1	NonRewarded
772.18	1.1	1	ButtonPress
776.54	2	1	Rewarded
783.74	1.1	1	ButtonPress
787.43	2	1	NonRewarded
792.77	1.1	1	ButtonPress
796.99	2	1	NonRewarded
803.79	1.1	1	ButtonPress
808.55	2	1	NonRewarded
812.95	1.1	1	ButtonPress
818.63	2	1	NonRewarded
823.43	1.1	1	ButtonPress
