onset	duration	weight	trial_type
6.06	2	1	NonRewarded
11.66	1.1	1	ButtonPress
15.79	2	1	NonRewarded
23.79	1.1	1	ButtonPress
27.12	2	1	NonRewarded
31.12	1.1	1	ButtonPress
36.86	2	1	NonRewarded
41.93	1.1	1	ButtonPress
48.51	2	1	NonRewarded
54.11	1.1	1	ButtonPress
58.22	2	1	Rewarded
63.02	1.1	1	ButtonPress
68.29	2	1	Rewarded
73.49	1.1	1	ButtonPress
78.57	2	1	Rewarded
85.37	1.1	1	ButtonPress
89.58	2	1	Rewarded
94.52	1.1	1	ButtonPress
100.26	2	1	NonRewarded
107.46	1.1	1	ButtonPress
111.42	2	1	Rewarded
116.62	1	1	ButtonPress
120.51	2	1	Rewarded
124.81	1	1	ButtonPress
129.61	2	1	Rewarded
133.81	1.1	1	ButtonPress
137.23	2	1	Rewarded
143.03	1.1	1	ButtonPress
149.21	2	1	NonRewarded
154.15	1.1	1	ButtonPress
158.99	2	1	Rewarded
163.29	1.1	1	ButtonPress
167.42	2	1	Rewarded
171.52	1.1	1	ButtonPress
175.62	2	1	Rewarded
181.22	1.1	1	ButtonPress
186.51	2	1	NonRewarded
192.91	1.1	1	ButtonPress
196.59	2	1	Rewarded
204.19	1.1	1	ButtonPress
208.31	2	1	NonRewarded
212.85	1.1	1	ButtonPress
219.35	2	1	NonRewarded
226.95	1.1	1	ButtonPress
231.44	2	1	Rewarded
237.44	1.1	1	ButtonPress
243.92	2	1	NonRewarded
248.85	1.1	1	ButtonPress
255.39	2	1	Rewarded
261.19	1.1	1	ButtonPress
265.91	2	1	NonRewarded
272.31	1.1	1	ButtonPress
276.86	2	1	Rewarded
283.66	1.1	1	ButtonPress
287.76	2	1	Rewarded
292.16	1.1	1	ButtonPress
295.72	2	1	NonRewarded
301.72	1	1	ButtonPress
305.32	2	1	Rewarded
310.12	1.1	1	ButtonPress
317.01	2	1	NonRewarded
322.21	1.1	1	ButtonPress
326.02	2	1	NonRewarded
333.22	1	1	ButtonPress
336.55	2	1	Rewarded
341.61	1	1	ButtonPress
346.83	2	1	Rewarded
353.03	1	1	ButtonPress
356.61	2	1	Rewarded
362.21	1	1	ButtonPress
369.47	2	1	Rewarded
373.47	1	1	ButtonPress
376.92	2	1	Rewarded
381.12	1.1	1	ButtonPress
388.09	2	1	NonRewarded
392.62	1.1	1	ButtonPress
397.56	2	1	Rewarded
401.66	1.1	1	ButtonPress
407.74	2	1	Rewarded
412.41	1	1	ButtonPress
416.81	2	1	Rewarded
421.48	1	1	ButtonPress
425.56	2	1	NonRewarded
430.36	1	1	ButtonPress
435.8	2	1	Rewarded
442.6	1	1	ButtonPress
446.09	2	1	Rewarded
452.89	1	1	ButtonPress
457.21	2	1	NonRewarded
462.81	1	1	ButtonPress
468.2	2	1	NonRewarded
476.2	1	1	ButtonPress
481.23	2	1	Rewarded
485.63	1	1	ButtonPress
491.73	2	1	NonRewarded
497.93	1	1	ButtonPress
502.38	2	1	NonRewarded
508.38	1	1	ButtonPress
514.84	2	1	Rewarded
522.04	1	1	ButtonPress
526.7	2	1	Rewarded
531.23	1	1	ButtonPress
535.02	2	1	Rewarded
539.82	1	1	ButtonPress
544.86	2	1	NonRewarded
552.46	1	1	ButtonPress
556.89	2	1	Rewarded
562.23	1.1	1	ButtonPress
565.83	2	1	NonRewarded
573.03	1.1	1	ButtonPress
579.98	2	1	Rewarded
586.38	1.1	1	ButtonPress
589.94	2	1	NonRewarded
594.34	1.1	1	ButtonPress
598.92	2	1	Rewarded
604.12	1.1	1	ButtonPress
608.56	2	1	NonRewarded
614.03	1.1	1	ButtonPress
618.52	2	1	NonRewarded
623.72	1.1	1	ButtonPress
627.51	2	1	Rewarded
631.91	1.1	1	ButtonPress
636.76	2	1	Rewarded
641.96	1.1	1	ButtonPress
647.22	2	1	Rewarded
653.02	1.1	1	ButtonPress
657.92	2	1	NonRewarded
663.92	1	1	ButtonPress
671.13	2	1	Rewarded
675.8	1.1	1	ButtonPress
681.94	2	1	NonRewarded
686.6	1.1	1	ButtonPress
692.74	2	1	NonRewarded
697.04	1	1	ButtonPress
702.07	2	1	NonRewarded
707.67	1	1	ButtonPress
711.63	2	1	NonRewarded
716.03	1	1	ButtonPress
720.91	2	1	Rewarded
725.98	1	1	ButtonPress
729.91	2	1	NonRewarded
734.71	1	1	ButtonPress
738.47	2	1	NonRewarded
743.94	1	1	ButtonPress
747.95	2	1	NonRewarded
753.15	1.1	1	ButtonPress
757.51	2	1	NonRewarded
762.31	1.1	1	ButtonPress
766.97	2	1	NonRewarded
773.37	1	1	ButtonPress
777.63	2	1	Rewarded
784.83	1	1	ButtonPress
788.43	2	1	NonRewarded
793.76	1	1	ButtonPress
797.91	2	1	NonRewarded
804.71	1	1	ButtonPress
809.39	2	1	NonRewarded
813.79	1	1	ButtonPress
819.42	2	1	NonRewarded
824.22	1.1	1	ButtonPress
