onset	duration	weight	trial_type
6.7	2	1	NonRewarded
12.3	1.1	1	ButtonPress
19.39	2	1	NonRewarded
27.39	1.1	1	ButtonPress
32.34	2	1	NonRewarded
36.34	1.1	1	ButtonPress
44.21	2	1	NonRewarded
49.28	1.1	1	ButtonPress
55.76	2	1	NonRewarded
61.36	1.1	1	ButtonPress
65.45	2	1	Rewarded
70.25	1.1	1	ButtonPress
75.56	2	1	Rewarded
80.76	1.1	1	ButtonPress
85.94	2	1	Rewarded
92.74	1.1	1	ButtonPress
97.03	2	1	Rewarded
101.97	1.1	1	ButtonPress
107.76	2	1	NonRewarded
114.96	1.1	1	ButtonPress
118.92	2	1	Rewarded
124.12	1	1	ButtonPress
127.98	2	1	Rewarded
132.28	1.1	1	ButtonPress
137.18	2	1	Rewarded
141.38	1.1	1	ButtonPress
144.81	2	1	Rewarded
150.61	1	1	ButtonPress
157.35	2	1	NonRewarded
162.28	1	1	ButtonPress
169.22	2	1	Rewarded
173.52	1	1	ButtonPress
177.52	2	1	Rewarded
181.62	1	1	ButtonPress
185.66	2	1	Rewarded
191.26	1	1	ButtonPress
197.23	2	1	NonRewarded
203.63	1.1	1	ButtonPress
209.64	2	1	Rewarded
217.24	1.1	1	ButtonPress
221.36	2	1	NonRewarded
225.89	1.1	1	ButtonPress
233.09	2	1	NonRewarded
240.69	1	1	ButtonPress
247.28	2	1	Rewarded
253.28	1	1	ButtonPress
259.64	2	1	NonRewarded
264.57	1	1	ButtonPress
270.93	2	1	Rewarded
276.73	1	1	ButtonPress
281.26	2	1	NonRewarded
287.66	1	1	ButtonPress
292.04	2	1	Rewarded
298.84	1	1	ButtonPress
302.88	2	1	Rewarded
307.28	1	1	ButtonPress
310.84	2	1	NonRewarded
316.84	1	1	ButtonPress
320.49	2	1	Rewarded
325.29	1	1	ButtonPress
332.82	2	1	NonRewarded
338.02	1	1	ButtonPress
344.52	2	1	NonRewarded
351.72	1	1	ButtonPress
357.24	2	1	Rewarded
362.31	1	1	ButtonPress
367.5	2	1	Rewarded
373.7	1	1	ButtonPress
377.26	2	1	Rewarded
382.86	1	1	ButtonPress
390.07	2	1	Rewarded
394.07	1	1	ButtonPress
397.49	2	1	Rewarded
401.69	1	1	ButtonPress
409.28	2	1	NonRewarded
413.81	1	1	ButtonPress
419.6	2	1	Rewarded
423.7	1	1	ButtonPress
429.77	2	1	Rewarded
434.43	1	1	ButtonPress
438.9	2	1	Rewarded
443.56	1	1	ButtonPress
448.45	2	1	NonRewarded
453.25	1	1	ButtonPress
459.57	2	1	Rewarded
466.37	1	1	ButtonPress
469.86	2	1	Rewarded
476.66	1	1	ButtonPress
481.7	2	1	NonRewarded
487.3	1	1	ButtonPress
495.59	2	1	NonRewarded
503.59	1	1	ButtonPress
510.75	2	1	Rewarded
515.15	1	1	ButtonPress
521.92	2	1	NonRewarded
528.12	1	1	ButtonPress
533.54	2	1	NonRewarded
539.54	1	1	ButtonPress
546.03	2	1	Rewarded
553.23	1	1	ButtonPress
557.93	2	1	Rewarded
562.46	1	1	ButtonPress
566.27	2	1	Rewarded
571.07	1	1	ButtonPress
576.87	2	1	NonRewarded
584.47	1	1	ButtonPress
589.79	2	1	Rewarded
595.13	1	1	ButtonPress
599.38	2	1	NonRewarded
606.58	1	1	ButtonPress
614.34	2	1	Rewarded
620.74	1	1	ButtonPress
624.15	2	1	NonRewarded
628.55	1	1	ButtonPress
632.93	2	1	Rewarded
638.13	1	1	ButtonPress
643.18	2	1	NonRewarded
648.65	1	1	ButtonPress
656.09	2	1	NonRewarded
661.29	1	1	ButtonPress
667.17	2	1	Rewarded
671.57	1	1	ButtonPress
676.33	2	1	Rewarded
681.53	1	1	ButtonPress
686.68	2	1	Rewarded
692.48	1	1	ButtonPress
697.25	2	1	NonRewarded
703.25	1	1	ButtonPress
710.44	2	1	Rewarded
715.1	1	1	ButtonPress
721.89	2	1	NonRewarded
726.55	1	1	ButtonPress
734.16	2	1	NonRewarded
738.46	1.1	1	ButtonPress
746.62	2	1	NonRewarded
752.22	1.1	1	ButtonPress
757.16	2	1	NonRewarded
761.56	1.1	1	ButtonPress
766.5	2	1	Rewarded
771.57	1	1	ButtonPress
776.32	2	1	NonRewarded
781.12	1	1	ButtonPress
786.54	2	1	NonRewarded
792.01	1.1	1	ButtonPress
797.03	2	1	NonRewarded
802.23	1.1	1	ButtonPress
807.33	2	1	NonRewarded
812.13	1.1	1	ButtonPress
817.68	2	1	NonRewarded
824.08	1.1	1	ButtonPress
828.41	2	1	Rewarded
835.61	1.1	1	ButtonPress
839.3	2	1	NonRewarded
844.63	1	1	ButtonPress
848.72	2	1	NonRewarded
855.52	1	1	ButtonPress
860.83	2	1	NonRewarded
865.23	1.1	1	ButtonPress
873.86	2	1	NonRewarded
878.66	1.1	1	ButtonPress
